question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,language,category,exam_category
Quelle est la devise de la République française?,"Liberté, Laïcité, Solidarité","Paix, Travail, Justice","Liberté, Égalité, Fraternité","Travail, Famille, Patrie",c,"La devise de la République française est : Liberté, Égalité, Fraternité.",fr,La devise française,CSP
Que signifie le mot fraternité dans la devise française?,Le respect des lois,La solidarité entre les citoyens,La liberté pour chacun,L'égalité entre tous,b,La fraternité est définie comme la solidarité entre les citoyens.,fr,La devise française,CSP
À quelle période de l'histoire la devise française apparaît-elle?,Lors de la Première Guerre mondiale,Pendant la Révolution française,Au Moyen Âge,Pendant les années 2000,b,"La devise apparaît pendant la Révolution française, en 1789.",fr,La devise française,CSP
Sur quels bâtiments publics peut-on lire la devise française?,"Les mairies, écoles et tribunaux",Uniquement sur le palais de l'Élysée,Les supermarchés et les banques,Uniquement sur les églises,a,"On peut lire la devise sur les bâtiments publics : mairies, écoles, tribunaux.",fr,La devise française,CSP
Sur quel document officiel trouve-t-on la devise française?,Le permis de conduire,La carte vitale,La carte d'identité,Le ticket de bus,c,On donne la carte d'identité et les papiers administratifs comme exemples de documents officiels.,fr,La devise française,CSP
Quel est l'objectif principal de la devise?,Remplacer le drapeau français,Exprimer les valeurs auxquelles les Français sont attachés,Décorer les monuments anciens,Créer de nouvelles lois,b,Les valeurs auxquelles les Français sont attachés.,fr,La devise française,CSP
Que représente la devise pour le patrimoine de la France?,Elle est un symbole réservé au président,Elle n'en fait pas partie,Elle fait partie de notre patrimoine national,Elle est temporaire,c,Elle fait partie de notre patrimoine national.,fr,La devise française,CSP
Pour qui la liberté est-elle revendiquée dans la devise?,Pour les élus,Pour les étrangers uniquement,Pour les plus riches,Pour chacun,d,La liberté est défini(e)(s) comme la liberté pour chacun.,fr,La devise française,CSP
En quelle année la devise est-elle apparue pour la première fois?,1958,1848,2000,1789,d,"La devise apparaît pendant la Révolution française, en 1789.",fr,La devise française,CSP
En quelle année la devise française a-t-elle été adoptée officiellement?,1945,1789,1958,1848,d,La devise est adoptée officiellement en 1848.,fr,La devise française,CR
Sous quelle République la devise a-t-elle été adoptée officiellement?,La 2ème République,La 3ème République,La 5ème République,La 1ère République,a,"Elle est adoptée officiellement en 1848, sous la 2ème République.",fr,La devise française,CR
Que se passe-t-il concernant la devise sous la 3ème République?,Elle est interdite,Elle est modifiée,Elle est remplacée par une nouvelle devise,"Elle devient visible un peu partout (mairies, monuments, écoles)",d,"Sous la 3ème République, elle est visible un peu partout.",fr,La devise française,CR
Quel est le but des révolutionnaires en 1789 en s'appuyant sur ces trois valeurs?,Créer une société plus juste,Gagner une guerre,Remplacer le roi par un empereur,Créer une nouvelle religion,a,"Les révolutionnaires veulent une société plus juste, fondée sur ces trois valeurs.",fr,La devise française,CR
Quel rôle joue la devise dans la vie démocratique en France?,Elle remplace les lois,Elle la complique,Elle la guide et unit les citoyens,Elle n'a aucun rôle politique,c,"La devise nous rappelle des valeurs partagées, unit les citoyens et guide la vie démocratique.",fr,La devise française,CR
"Outre les bâtiments et documents, sur quels autres supports du quotidien peut-on voir la devise?",Certaines pièces de monnaie et timbres,Les vêtements et chaussures,Les panneaux publicitaires,Les billets de train,a,On peut voir la devise sur certaines pièces de monnaie et timbres.,fr,La devise française,CR
Quelle relation la devise actuelle entretient-elle avec la Constitution?,Elle remplace la Constitution,Elle n'y figure pas,Elle y est inscrite depuis 1958,Elle a été retirée en 1958,c,La devise est toujours inscrite dans la Constitution d'aujourd'hui (1958).,fr,La devise française,CR
Que rappelle la devise aux citoyens français?,Que la Révolution continue aujourd'hui,Que la République est fondée sur des valeurs partagées,Qu'il faut changer de Constitution,Que l'histoire de France est terminée,b,C'est un symbole fort qui nous rappelle que la République est fondée sur des valeurs partagées.,fr,La devise française,CR
À quel événement festif associe-t-on la visibilité de la devise?,Le 14 juillet,Le 1er mai,Noël,Pâques,a,"On a les fêtes nationales, comme le 14 juillet, comme moment où l'on peut lire la devise.",fr,La devise française,CR
Comment définit-on l'égalité au sein de la devise?,L'égalité entre tous,L'égalité des salaires,L'égalité des chances uniquement,L'égalité devant l'impôt,a,L'égalité est défini(e)(s) comme l'égalité entre tous.,fr,La devise française,CR
Quelle est la chronologie exacte de l'évolution de la devise française?,"Adoption en 1789, apparition en 1848, inscrite dans la Constitution en 1958","Adoption officielle en 1958, apparition en 1848, inscription sur les mairies en 1789","Apparition en 1789, adoption officielle en 1848, inscrite dans la Constitution en 1958","Apparition en 1848, visibilité accrue en 1789, inscrite dans la Constitution en 1958",c,"Elle apparaît en 1789, est adoptée en 1848 et inscrite dans la Constitution actuelle de 1958.",fr,La devise française,Naturalisation
"Parmi ces propositions, laquelle n'est pas une valeur composant la devise française?",Fraternité,Laïcité,Liberté,Égalité,b,"La devise est uniquement composée de Liberté, Égalité, Fraternité. La laïcité n'y figure pas.",fr,La devise française,Naturalisation
,,,,,,,,,
Lequel de ces lieux ou supports n'affiche pas la devise?,Les billets de banque,Les écoles,Les tribunaux,Les mairies,a,Pas les billets de banque.,fr,La devise française,Naturalisation
,,,,,,,,,
Quel bâtiment spécifique illustre la présence de la devise sur une façade?,Le Sénat,L'Assemblée nationale,La mairie de Paris,La préfecture du Finistère,d,Les préfecture.,fr,La devise française,Naturalisation
Que signifie l'année 1848 pour l'histoire de la devise française?,Son apparition sous la Révolution,Son inscription dans la Constitution actuelle,Son adoption officielle sous la 2ème République,Son retrait des documents officiels,c,"En 1848, la devise est adoptée officiellement sous la 2ème République.",fr,La devise française,Naturalisation
Quelle affirmation concernant la visibilité de la devise est exacte?,Elle est visible partout dès 1789,Elle a été effacée des tribunaux sous la 2ème République,Elle devient visible un peu partout sous la 3ème République,Elle n'apparaît sur les timbres que depuis 1958,c,"C'est sous la 3ème République qu'elle est visible un peu partout (mairies, monuments, écoles).",fr,La devise française,Naturalisation
Quelle est la nature du lien entre la devise et la Constitution de la 5ème République (1958)?,La devise remplace l'article premier de la Constitution,La Constitution de 1958 ne mentionne que la liberté,La devise a été créée pour cette Constitution,La devise y est toujours inscrite,d,La devise est toujours inscrite dans la Constitution d'aujourd'hui (1958).,fr,La devise française,Naturalisation
Comment la notion de fraternité se distingue-t-elle des deux autres valeurs dans son explication?,Elle concerne uniquement les étrangers,Elle est définie spécifiquement comme la solidarité entre les citoyens,Elle n'a été ajoutée qu'en 1958,Elle est la seule à ne pas être officielle,b,"La fraternité, c'est-à-dire la solidarité entre les citoyens.",fr,La devise française,Naturalisation
"Si l'on compare la Révolution française (1789) et la 2ème République (1848) concernant la devise, que peut-on affirmer?","La Révolution a vu son apparition, la 2ème République son adoption officielle",Les deux périodes ont rejeté la devise,"La Révolution a officialisé la devise, la 2ème République l'a inventée","La Révolution a limité la devise à l'égalité, la 2ème République a ajouté la fraternité",a,Apparition pendant la Révolution (1789) et adoption officielle sous la 2ème République (1848).,fr,La devise française,Naturalisation
Lequel de ces documents administratifs est explicitement cité comme support de la devise?,L'acte de naissance,Le livret de famille,Le passeport,La carte d'identité,d,La carte d'identité.,fr,La devise française,Naturalisation
Quelle proposition résume de manière la plus complète les fonctions symboliques de la devise?,Elle sert uniquement à frapper des pièces de monnaie,Elle décore les mairies et indique l'année de construction,"Elle rappelle des valeurs partagées, unit les citoyens et guide la vie démocratique",Elle remplace la Constitution lors des fêtes nationales,c,"La devise rappelle des valeurs partagées, unit les citoyens et guide la vie démocratique.",fr,La devise française,Naturalisation
Qui est concerné par l'égalité selon l'explication de la devise?,L'égalité entre tous,Seulement les citoyens nés en France,Uniquement les élus,Les personnes majeures exclusivement,a,L'une des valeurs de la devise est « l'égalité entre tous ».,fr,La devise française,CSP
Comment définit-on précisément la liberté dans la devise?,Le droit de voyager,Ne pas payer d'impôts,Faire ce que l'on veut sans limites,La liberté pour chacun,d,La liberté pour chacun,fr,La devise française,CSP
Comment qualifie-t-on le type de société souhaité par les révolutionnaires en 1789?,Une société plus traditionnelle,Une société plus autoritaire,Une société plus juste,Une société plus riche,c,"Les révolutionnaires veulent une société plus juste, fondée sur ces trois valeurs.",fr,La devise française,CSP
Sur quel document permettant de justifier son identité trouve-t-on la devise?,La carte de fidélité,Le relevé bancaire,Le ticket de transport,La carte d'identité,d,La carte d'identité est parmi les documents officiels où l'on peut lire la devise.,fr,La devise française,CSP
Pendant quelle fête nationale la devise est-elle particulièrement mise en avant?,Le 25 décembre,Le 11 novembre,Le 1er mai,Le 14 juillet,d,"On peut lire la devise lors de fêtes nationales, comme le 14 juillet.",fr,La devise française,CSP
"Comment appelle-t-on l'ensemble des biens et valeurs, dont la devise fait partie, qui appartient à la nation?",Le capital social,Le domaine privé,Le patrimoine national,Le trésor public,c,La devise officielle depuis 1848 fait partie de notre patrimoine national.,fr,La devise française,CSP
Quel est le lien exact entre la notion de fraternité et les citoyens?,C'est l'égalité juridique des citoyens,C'est une obligation financière des citoyens,C'est la solidarité entre les citoyens,C'est le droit de vote des citoyens,c,La fraternité est définie textuellement comme « c'est-à-dire la solidarité entre les citoyens ».,fr,La devise française,CR
Quelle est l'intention principale des révolutionnaires de 1789 vis-à-vis des valeurs de la devise?,Ils veulent adopter officiellement la devise dans une Constitution,Ils veulent créer une nouvelle monnaie,Ils veulent fonder une société plus juste sur ces trois valeurs,Ils veulent supprimer les écoles et les mairies,c,"Les révolutionnaires veulent une société plus juste, fondée sur ces trois valeurs : liberté, égalité, fraternité.",fr,La devise française,CR
Dans quel texte fondamental de la République française la devise est-elle inscrite aujourd'hui?,La Constitution française,Le Code de la nationalité,Le Code pénal,La Déclaration des droits de l'homme,a,On la voit aujourd'hui dans la Constitution française (1958).,fr,La devise française,CR
Sur quels petits objets servant à payer ou envoyer du courrier peut-on voir la devise?,Certaines pièces de monnaie et timbres,Les cartes de crédit et chèques,Les enveloppes simples et colis,Les billets de train et d'avion,a,On peut la lire sur certaines pièces de monnaie et timbres.,fr,La devise française,CR
Quels bâtiments publics liés à la justice affichent la devise?,Les tribunaux,Les commissariats,Les préfectures de police,Les prisons,a,Les tribunaux sont cités parmi les bâtiments publics où l'on peut lire la devise.,fr,La devise française,CR
Quel effet la devise a-t-elle sur les citoyens français?,Elle les oblige à payer des impôts,Elle les surveille en permanence,Elle les sépare selon leurs revenus,Elle les unit,d,La devise est un symbole fort qui « unit les citoyens ».,fr,La devise française,CR
Quel est le rôle de la devise par rapport à la vie démocratique en France?,Elle la remplace,Elle la guide,Elle l'interdit,Elle la finance,b,La devise « guide la vie démocratique en France ».,fr,La devise française,CR
"Parmi ces propositions sur l'historique de la devise, laquelle est fausse?",Elle est adoptée officiellement sous la 2ème République,Elle est inscrite dans la Constitution de 1958,Elle apparaît pendant la Révolution en 1789,Elle devient visible sur les écoles sous la 1ère République,d,"C'est sous la 3ème République qu'elle devient visible un peu partout, dont les écoles.",fr,La devise française,Naturalisation
,,,,,,,,,
Comment peut-on résumer l'évolution de la présence visuelle de la devise sur les bâtiments publics français?,Elle n'est affichée que temporairement le 14 juillet,Elle s'est généralisée sur les mairies et écoles sous la 3ème République,Elle est exclusive aux tribunaux depuis 1848,Elle a disparu des bâtiments depuis 1958,b,"Sous la 3ème République, elle est visible un peu partout : mairies, monuments, écoles.",fr,La devise française,Naturalisation
Laquelle de ces valeurs n'est pas explicitement associée à un groupe ou une notion dans l'explication de la devise?,La fraternité (solidarité entre les citoyens),La liberté (pour chacun),L'égalité (entre tous),La laïcité (pour l'État),d,"On associe la liberté à chacun, l'égalité à tous et la fraternité aux citoyens.",fr,La devise française,Naturalisation
Quel est le statut juridique actuel de la devise au regard des textes fondamentaux?,Elle figure uniquement sur des documents administratifs mineurs,Elle est une simple coutume orale,Elle a été retirée des textes constitutionnels après la 3ème République,Elle est inscrite dans la Constitution de 1958,d,Elle est toujours inscrite dans la Constitution d'aujourd'hui (1958).,fr,La devise française,Naturalisation
"Parmi les choix suivants, lequel combine UNIQUEMENT des lieux ou supports physiques où figure la devise?","Mairies, tribunaux, pièces de monnaie","Préfecture, 3ème République, écoles","Timbres, fêtes nationales, 14 juillet","Constitution, Révolution, patrimoine",a,"Les mairies, les tribunaux et les pièces de monnaie sont tous les trois des supports ou lieux physiques.",fr,La devise française,Naturalisation
Quelle proposition décrit le mieux le décalage chronologique entre la création des valeurs de la devise et leur officialisation institutionnelle?,"Il n'y a aucun décalage, apparition et officialisation datent de 1789",Elles sont officialisées en 1789 mais inventées en 1848,Elles sont inscrites dans la Constitution en 1789 mais adoptées en 1958,Elles apparaissent comme projet de société en 1789 mais ne sont la devise officielle qu'en 1848,d,"La devise apparaît en 1789 pour fonder une société juste, mais n'est adoptée officiellement comme devise de la République qu'en 1848.",fr,La devise française,Naturalisation
,,,,,,,,,
question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,language,category,exam_category
Quelle est la valeur fondamentale de la République présentée?,La laïcité,La fraternité,La liberté,L'égalité,c,La liberté est une valeur fondamentale.,fr,La liberté,CSP
"En France, qu'est-ce que chaque personne a le droit de faire?",Obéir aveuglément,Penser et s'exprimer comme elle le souhaite,Imposer ses idées aux autres,Vivre sans aucune règle,b,"Chaque personne peut penser, s’exprimer et vivre comme elle le souhaite.",fr,La liberté,CSP
Quel document garantit la liberté en France?,La Constitution de 1945,La Déclaration des droits de l'homme et du citoyen de 1789,Le traité de Versailles,Le Code civil,b,Cette liberté est garantie par la Déclaration des droits de l’homme et du citoyen de 1789.,fr,La liberté,CSP
Qui protège la liberté en France?,Les citoyens eux-mêmes,L'État français,L'armée uniquement,L'Union européenne,b,L'État français protège cette liberté.,fr,La liberté,CSP
Est-on obligé d'avoir une religion en France?,Cela dépend de son pays d'origine,"Oui, mais seulement une religion reconnue","Oui, c'est obligatoire","Non, on peut avoir ou ne pas avoir une religion",d,Avoir ou ne pas avoir une religion.,fr,La liberté,CSP
Peut-on vivre avec la personne de son choix?,Seulement si les parents sont d'accord,"Non, c'est interdit","Oui, c'est une liberté personnelle",Uniquement si on est marié,c,Vivre avec la personne de son choix dans les libertés de chaque personne.,fr,La liberté,CSP
La liberté est-elle un droit pour tous?,"Non, seulement pour les Français","Non, cela dépend de la religion",Seulement pour ceux qui travaillent,"Oui, sans faire de différence",d,"La liberté est un droit pour tous, sans faire de différence.",fr,La liberté,CSP
Quelle est la condition pour se déplacer dans le territoire?,Avoir une voiture,Être accompagné,Avoir son titre de séjour,Avoir un travail,c,Il faut se déplacer dans le territoire grâce à son titre de séjour.,fr,La liberté,CSP
Peut-on exprimer son opinion en France?,Uniquement si l'opinion est positive,Seulement à la maison,"Non, c'est dangereux","Oui, c'est une liberté",d,Exprimer une opinion fait partie de la liberté de chaque personne.,fr,La liberté,CSP
Que peut faire une personne qui a bien compris le principe de liberté?,Faire tout ce qu'elle veut sans limite,Refuser de travailler,Ne plus payer d'impôts,Vivre et travailler en toute sécurité,d,"Une telle personne peut « vivre, travailler, apprendre et s’exprimer en toute sécurité.",fr,La liberté,CSP
Quelle est la limite principale à la liberté d'une personne?,La volonté du président,L'heure de la journée,L'argent,Ne pas empêcher une autre personne d'en faire autant,d,La seule limite est de « ne pas empêcher une autre personne d’en faire autant ».,fr,La liberté,CR
