question_text	option_a	option_b	option_c	option_d	correct_answer	explanation	language	exam_category
Fransız Cumhuriyeti'nin sloganı nedir?	Çalışma Aile Vatan	Özgürlük Eşitlik Kardeşlik	Barış Adalet Çalışma	Düzen ve İlerleme	seçenek_b	Belediye binalarının cephesinde yazılı olan slogan Özgürlük, Eşitlik, Kardeşlik'tir.	tr	Principles and values of the Republic
Fransa'nın milli marşı nedir?	Partizanların Şarkısı	La Marseillaise	La Madelon	Ode à la joie	seçenek_b	La Marseillaise, 1792 yılında Rouget de Lisle tarafından yazılmıştır.	tr	Principles and values of the Republic
14 Temmuz'da ne kutlanır?	İkinci Dünya Savaşı'nın sonu	Ateşkes	Bastille'in ele geçirilmesi	Napolyon'un doğumu	seçenek_c	14 Temmuz, Bastille'in ele geçirilmesi (1789) ve Federasyon Bayramı'nı (1790) kutlar.	tr	History, geography and culture
Fransız bayrağının renkleri nelerdir?	Mavi Beyaz Kırmızı	Kırmızı Beyaz Mavi	Beyaz Mavi Kırmızı	Mavi Kırmızı Beyaz	seçenek_a	Mavi, beyaz ve kırmızı renklerden oluşan üç renkli bayrak, Fransa'nın ulusal amblemidir.	tr	Principles and values of the Republic
Fransız Cumhuriyeti'ni simgeleyen kadın karakter hangisidir?	Jeanne d'Arc	Marie-Antoinette	Marianne	Joséphine de Beauharnais	seçenek_c	Marianne, Frigya şapkası takan Cumhuriyet'in alegorisidir.	tr	Principles and values of the Republic
Fransa'yı temsil etmek için sıklıkla hangi hayvan kullanılır?	Kartal	Aslan	Horoz	Ayı	seçenek_c	Galya horozu, Fransa'nın geleneksel ve sportif bir sembolüdür.	tr	Principles and values of the Republic
Fransız Devrimi hangi yılda gerçekleşti?	1789	1889	1905	1958	seçenek_a	Fransız Devrimi, 1789 yılında Bastille'in ele geçirilmesiyle başladı.	tr	History, geography and culture
Fransa Cumhuriyeti'nin şu anki cumhurbaşkanı kimdir? (2024 yılında)	François Hollande	Emmanuel Macron	Nicolas Sarkozy	Jacques Chirac	seçenek_b	Emmanuel Macron 2022 yılında yeniden Cumhurbaşkanı seçildi.	tr	Institutional and political system
Cumhurbaşkanının görev süresi ne kadardır?	4 yıl	5 yıl	7 yıl	Ömür boyu	seçenek_b	Cumhurbaşkanının görev süresi (beş yıl) 5 yıldır.	tr	Institutional and political system
Cumhurbaşkanı nasıl seçilir?	Milletvekilleri tarafından	Senato tarafından	Genel oy ile	Belediye başkanları tarafından	seçenek_c	Fransız vatandaşları tarafından doğrudan seçilir.	tr	Institutional and political system
Cumhurbaşkanı nerede görev yapar?	Louvre Sarayı'nda	Lüksemburg Sarayı'nda	Élysée Sarayı'nda	Bourbon Sarayı'nda	seçenek_c	Élysée Sarayı, Cumhurbaşkanı'nın resmi ikametgahıdır.	tr	Institutional and political system
Başbakanı kim atar?	Halk	Parlamento	Cumhurbaşkanı	Anayasa Mahkemesi	seçenek_c	Cumhurbaşkanı, hükümeti yöneten başbakanı atar.	tr	Institutional and political system
