question_text	option_a	option_b	option_c	option_d	correct_answer	explanation	language	exam_category
Qual é o lema da República Francesa?	Trabalho Família Pátria	Liberdade Igualdade Fraternidade	Paz Justiça Trabalho	Ordem e Progresso	opção_b	O lema inscrito nos frontões das câmaras municipais é Liberdade, Igualdade, Fraternidade.	pt	Principles and values of the Republic
Qual é o hino nacional da França?	A Canção dos Partisans	A Marselhesa	La Madelon	O Ode à alegria	opção_b	A Marselhesa foi escrita por Rouget de Lisle em 1792.	pt	Principles and values of the Republic
O que se comemora no dia 14 de julho?	O fim da Segunda Guerra Mundial	O Armistício	A tomada da Bastilha	O nascimento de Napoleão	opção_c	O dia 14 de julho celebra a tomada da Bastilha (1789) e a Festa da Federação (1790).	pt	History, geography and culture
Quais são as cores da bandeira francesa?	Azul Branco Vermelho	Vermelho Branco Azul	Branco, azul e vermelho	Azul Vermelho Branco	opção_a	A bandeira tricolor azul, branca e vermelha é o emblema nacional da França.	pt	Principles and values of the Republic
Que personagem feminina simboliza a República Francesa?	Joana d'Arc	Maria Antonieta	Marianne	Josefa de Beauharnais	opção_c	Marianne é a alegoria da República, usando um gorro frígio.	pt	Principles and values of the Republic
Que animal é frequentemente usado para representar a França?	A águia	O leão	O galo	O urso	opção_c	O galo gaulês é um símbolo tradicional e desportivo da França.	pt	Principles and values of the Republic
Em que ano ocorreu a Revolução Francesa?	1789	1889	1905	1958	opção_a	A Revolução Francesa começou em 1789 com a tomada da Bastilha.	pt	History, geography and culture
Quem é o atual presidente da República Francesa? (em 2024)	François Hollande	Emmanuel Macron	Nicolas Sarkozy	Jacques Chirac	opção_b	Emmanuel Macron foi reeleito presidente em 2022.	pt	Institutional and political system
Qual é a duração do mandato do Presidente da República?	4 anos	5 anos	7 anos	Vitalício	opção_b	O mandato presidencial (quinquénio) dura 5 anos.	pt	Institutional and political system
Como é eleito o Presidente da República?	Pelos deputados	Pelo Senado	Por sufrágio universal direto	Pelos presidentes de câmara	opção_c	É eleito diretamente pelos cidadãos franceses.	pt	Institutional and political system
Onde fica a sede do Presidente da República?	No Palácio do Louvre	No Palácio do Luxemburgo	No Palácio do Eliseu	No Palácio Bourbon	opção_c	O Palácio do Eliseu é a residência oficial do Presidente.	pt	Institutional and political system
Quem nomeia o primeiro-ministro?	O povo	O Parlamento	O Presidente da República	O Conselho Constitucional	opção_c	O Presidente nomeia o primeiro-ministro, que passa a dirigir o Governo.	pt	Institutional and political system
Onde fica a Assembleia Nacional?	No Palácio do Luxemburgo	No Palácio do Eliseu	No Palácio Bourbon	Na Câmara Municipal	opção_c	A Assembleia Nacional, que forma o Parlamento com o Senado, tem a sua sede no Palácio Bourbon.	pt	Institutional and political system
Onde fica o Senado?	No Palácio do Luxemburgo	No Palácio Bourbon	No Panteão	Nos Inválidos	opção_a	O Senado é a câmara alta do Parlamento francês.	pt	Institutional and political system
Em que ano foi aprovada a lei da separação entre a Igreja e o Estado?	1789	1848	1905	1945	opção_c	A lei de 1905 é a base da laicidade na França.	pt	History, geography and culture
O que é a laicidade na França?	A proibição das religiões	Uma religião de Estado	A neutralidade do Estado em matéria religiosa	A obrigação de ter uma religião	opção_c	A laicidade garante a liberdade de consciência e separa o Estado das religiões.	pt	Principles and values of the Republic
Em que ano as mulheres obtiveram o direito de voto na França?	1789	1905	1944	1968	opção_c	O direito de voto foi concedido às mulheres em 1944 pelo general De Gaulle.	pt	History, geography and culture
Em que ano a escravatura foi definitivamente abolida na França?	1789	1848	1905	1944	opção_b	A abolição definitiva foi promulgada em 1848 durante a Segunda República (Victor Schoelcher).	pt	History, geography and culture
Em que República vivemos atualmente?	A Terceira República	A IV República	A V República	A VI República	opção_c	A V República foi fundada em 1958 por Charles de Gaulle.	pt	Institutional and political system
Que rei de França era apelidado de Rei Sol?	Henrique IV	Luís XIV	Luís XVI	Francisco I	opção_b	Luís XIV, famoso pela construção do Palácio de Versalhes, é o Rei Sol.	pt	History, geography and culture
Quem liderou a Resistência francesa a partir de Londres durante a Segunda Guerra Mundial?	Jean Moulin	O marechal Pétain	O general de Gaulle	Winston Churchill	opção_c	Charles de Gaulle lançou o Apelo de 18 de junho de 1940.	pt	History, geography and culture
Quem unificou a Resistência interna na França?	Charles de Gaulle	Jean Moulin	Léon Blum	Victor Hugo	opção_b	Jean Moulin fundou o Conselho Nacional da Resistência.	pt	History, geography and culture
Quais são as datas da Primeira Guerra Mundial?	1870-1871	1914-1918	1939-1945	1954-1962	opção_b	A Grande Guerra opôs a França e os seus aliados aos impérios centrais.	pt	History, geography and culture
Quais são as datas da Segunda Guerra Mundial?	1914-1918	1936-1939	1939-1945	1945-1950	opção_c	O conflito mundial terminou com a vitória dos Aliados em 1945.	pt	History, geography and culture
Que general francês tomou o poder em 1799 e se tornou imperador?	Carlos Magno	Luís Napoleão Bonaparte	Napoleão Bonaparte	Charles de Gaulle	opção_c	Napoleão I dominou a Europa no início do século XIX.	pt	History, geography and culture
Qual é a idade da maioridade legal na França?	16	18 anos	21 anos	25 anos	opção_b	A maioridade civil e política está fixada em 18 anos desde 1974.	pt	Rights and duties
A escola é obrigatória em França. De que idade a que idade?	Dos 3 aos 16 anos	Dos 6 aos 16 anos	Dos 6 aos 18 anos	Dos 3 aos 18 anos	opção_a	A instrução é obrigatória dos 3 aos 16 anos.	pt	Living in French society
A escola pública em França é:	Paga e religiosa	Gratuita, laica e obrigatória	Reservada aos rapazes	Opcional	opção_b	A escola pública baseia-se na gratuidade, na laicidade e na obrigatoriedade da instrução.	pt	Living in French society
Que monumento parisiense abriga os túmulos das grandes personalidades francesas?	A Torre Eiffel	O Arco do Triunfo	O Panteão	O Louvre	opção_c	Na sua fachada está inscrito: Aos grandes homens, a pátria agradecida.	pt	History, geography and culture
Qual destes rios NÃO corre na França?	O Sena	O Ródano	O Tamisa	O Loire	opção_c	O Tamisa corre na Inglaterra.	pt	History, geography and culture
Qual é o rio mais longo da França?	O Garona	O Sena	O Ródano	O Loire	opção_d	O Loire tem mais de 1000 km.	pt	History, geography and culture
