question_text	option_a	option_b	option_c	option_d	correct_answer	explanation	language	exam_category
ما هو شعار الجمهورية الفرنسية؟	العمل والأسرة والوطن	الحرية المساواة الإخاء	السلام العدالة العمل	النظام والتقدم	الخيار_ب	الشعار المكتوب على واجهات البلديات هو الحرية والمساواة والإخاء.	ar	Principles and values of the Republic
ما هو النشيد الوطني لفرنسا؟	أغنية المقاومين	لا مارسيليز	لا ماديلون	أغنية الفرح	الخيار_ب	كتب روجيه دي ليل نشيد "La Marseillaise" في عام 1792.	ar	Principles and values of the Republic
ما الذي نحتفل به في 14 يوليو؟	نهاية الحرب العالمية الثانية	الهدنة	الاستيلاء على الباستيل	ولادة نابليون	الخيار_ج	يحتفل يوم 14 يوليو بذكرى اقتحام الباستيل (1789) وعيد الاتحاد (1790).	ar	History, geography and culture
ما هي ألوان العلم الفرنسي؟	أزرق أبيض أحمر	أحمر أبيض أزرق	أبيض أزرق أحمر	أزرق أحمر أبيض	الخيار_أ	العلم الثلاثي الألوان الأزرق والأبيض والأحمر هو الشعار الوطني لفرنسا.	ar	Principles and values of the Republic
ما هي الشخصية النسائية التي ترمز إلى الجمهورية الفرنسية؟	جان دارك	ماري أنطوانيت	ماريان	جوزفين دو بوهارنايس	الخيار_ج	ماريان هي رمز الجمهورية، وترتدي قبعة فريجية.	ar	Principles and values of the Republic
ما هو الحيوان الذي غالبًا ما يستخدم لتمثيل فرنسا؟	النسر	الأسد	الديك	الدب	الخيار_ج	الديك الغالي هو رمز تقليدي ورياضي لفرنسا.	ar	Principles and values of the Republic
في أي عام اندلعت الثورة الفرنسية؟	1789	1889	1905	1958	الخيار_أ	بدأت الثورة الفرنسية في عام 1789 مع الاستيلاء على سجن الباستيل.	ar	History, geography and culture
من هو الرئيس الحالي للجمهورية الفرنسية؟ (في عام 2024)	فرانسوا هولاند	إيمانويل ماكرون	نيكولا ساركوزي	جاك شيراك	الخيار_ب	أعيد انتخاب إيمانويل ماكرون رئيسًا في عام 2022.	ar	Institutional and political system
ما هي مدة ولاية رئيس الجمهورية؟	4 سنوات	5 سنوات	7 سنوات	مدى الحياة	الخيار_ب	تستمر ولاية الرئيس (خمس سنوات) لمدة 5 سنوات.	ar	Institutional and political system
كيف يتم انتخاب رئيس الجمهورية؟	من قبل النواب	من قبل مجلس الشيوخ	بالاقتراع العام المباشر	من قبل العمد	الخيار_ج	يُنتخب مباشرة من قبل المواطنين الفرنسيين.	ar	Institutional and political system
أين يوجد مقر رئيس الجمهورية؟	في قصر اللوفر	في قصر لوكسمبورغ	في قصر الإليزيه	في قصر بوربون	الخيار_ج	قصر الإليزيه هو المقر الرسمي للرئيس.	ar	Institutional and political system
من يعين رئيس الوزراء؟	الشعب	البرلمان	رئيس الجمهورية	المجلس الدستوري	الخيار_ج	يعين الرئيس رئيس الوزراء، الذي يتولى بعد ذلك رئاسة الحكومة.	ar	Institutional and political system
أين يقع مقر الجمعية الوطنية؟	في قصر لوكسمبورغ	في قصر الإليزيه	في قصر بوربون	في مبنى البلدية	الخيار_ج	تقع الجمعية الوطنية، التي تشكل البرلمان مع مجلس الشيوخ، في قصر بوربون.	ar	Institutional and political system
أين يقع مقر مجلس الشيوخ؟	في قصر لوكسمبورغ	في قصر بوربون	في البانثيون	في قصر الإنفاليد	الخيار_أ	مجلس الشيوخ هو الغرفة العليا للبرلمان الفرنسي.	ar	Institutional and political system
في أي عام تم اعتماد قانون فصل الكنيسة عن الدولة؟	1789	1848	1905	1945	الخيار_ج	قانون عام 1905 هو أساس العلمانية في فرنسا.	ar	History, geography and culture
ما هي العلمانية في فرنسا؟	حظر الأديان	ديانة الدولة	حياد الدولة في الشؤون الدينية	الالتزام باعتناق دين	الخيار_ج	تضمن العلمانية حرية الضمير وتفصل الدولة عن الأديان.	ar	Principles and values of the Republic
في أي عام حصلت النساء على حق التصويت في فرنسا؟	1789	1905	1944	1968	الخيار_ج	منح الجنرال ديغول حق التصويت للنساء في عام 1944.	ar	History, geography and culture
