question_text	opción_a	opción_b	opción_c	opción_d	respuesta_correcta	explicación	idioma	exam_category
¿Cuál es el lema de la República Francesa?	Trabajo Familia Patria	Libertad, Igualdad, Fraternidad	Paz Justicia Trabajo	Orden y progreso	opción_b	El lema inscrito en los frontones de los ayuntamientos es Libertad, Igualdad, Fraternidad.	es	Principles and values of the Republic
¿Cuál es el himno nacional de Francia?	La canción de los partisanos	La Marsellesa	La Madelon	Oda a la alegría	opción_b	La Marsellesa fue escrita por Rouget de Lisle en 1792.	es	Principles and values of the Republic
¿Qué se celebra el 14 de julio?	El fin de la Segunda Guerra Mundial	El armisticio	La toma de la Bastilla	El nacimiento de Napoleón	opción_c	El 14 de julio se celebra la toma de la Bastilla (1789) y la Fiesta de la Federación (1790).	es	History, geography and culture
¿Cuáles son los colores de la bandera francesa?	Azul, blanco y rojo	Rojo, blanco y azul	Blanco, azul y rojo	Azul Rojo Blanco	opción_a	La bandera tricolor azul, blanca y roja es el emblema nacional de Francia.	es	Principles and values of the Republic
¿Qué personaje femenino simboliza la República Francesa?	Juana de Arco	María Antonieta	Marianne	Josefina de Beauharnais	opción_c	Marianne es la alegoría de la República, coronada con un gorro frigio.	es	Principles and values of the Republic
¿Qué animal se utiliza a menudo para representar a Francia?	El águila	El león	El gallo	El oso	opción_c	El gallo galo es un símbolo tradicional y deportivo de Francia.	es	Principles and values of the Republic
¿En qué año tuvo lugar la Revolución Francesa?	1789	1889	1905	1958	opción_a	La Revolución Francesa comenzó en 1789 con la toma de la Bastilla.	es	History, geography and culture
¿Quién es el actual presidente de la República Francesa? (en 2024)	François Hollande	Emmanuel Macron	Nicolas Sarkozy	Jacques Chirac	opción_b	Emmanuel Macron fue reelegido presidente en 2022.	es	Institutional and political system
¿Cuál es la duración del mandato del presidente de la República?	4 años	5 años	7 años	De por vida	opción_b	El mandato presidencial (quinquenio) dura 5 años.	es	Institutional and political system
¿Cómo se elige al presidente de la República?	Por los diputados	Por el Senado	Por sufragio universal directo	Por los alcaldes	opción_c	Es elegido directamente por los ciudadanos franceses.	es	Institutional and political system
¿Dónde tiene su sede el presidente de la República?	En el Palacio del Louvre	En el Palacio de Luxemburgo	En el Palacio del Elíseo	En el Palacio Bourbon	opción_c	El Palacio del Elíseo es la residencia oficial del presidente.	es	Institutional and political system
¿Quién nombra al primer ministro?	El pueblo	El Parlamento	El presidente de la República	El Consejo Constitucional	opción_c	El presidente nombra al primer ministro, que a continuación dirige el Gobierno.	es	Institutional and political system
¿Dónde tiene su sede la Asamblea Nacional?	En el Palacio de Luxemburgo	En el Palacio del Elíseo	En el Palacio Bourbon	En el Ayuntamiento	opción_c	La Asamblea Nacional, que forma el Parlamento junto con el Senado, tiene su sede en el Palacio Bourbon.	es	Institutional and political system
¿Dónde tiene su sede el Senado?	En el Palacio de Luxemburgo	En el Palacio Bourbon	En el Panteón	En Los Inválidos	opción_a	El Senado es la cámara alta del Parlamento francés.	es	Institutional and political system
¿En qué año se aprobó la ley de separación de la Iglesia y el Estado?	1789	1848	1905	1945	opción_c	La ley de 1905 es la base de la laicidad en Francia.	es	History, geography and culture
¿Qué es la laicidad en Francia?	La prohibición de las religiones	Una religión de Estado	La neutralidad del Estado en materia religiosa	La obligación de tener una religión	opción_c	La laicidad garantiza la libertad de conciencia y separa el Estado de las religiones.	es	Principles and values of the Republic
¿En qué año obtuvieron las mujeres el derecho al voto en Francia?	1789	1905	1944	1968	opción_c	El derecho al voto fue concedido a las mujeres en 1944 por el general De Gaulle.	es	History, geography and culture
