question_text;option_a;option_b;option_c;option_d;correct_answer;explanation;language;exam_category
Quelle est la devise de la République française ?;Travail Famille Patrie;Liberté Égalité Fraternité;Paix Justice Travail;Ordre et Progrès;option_b;La devise inscrite sur les frontons des mairies est Liberté, Égalité, Fraternité.;fr;Principles and values of the Republic
Quel est l'hymne national de la France ?;Le Chant des Partisans;La Marseillaise;La Madelon;L'Ode à la joie;option_b;La Marseillaise a été écrite par Rouget de Lisle en 1792.;fr;Principles and values of the Republic
Que célèbre-t-on le 14 juillet ?;La fin de la Seconde Guerre mondiale;L'Armistice;La prise de la Bastille;La naissance de Napoléon;option_c;Le 14 juillet célèbre la prise de la Bastille (1789) et la Fête de la Fédération (1790).;fr;History, geography and culture
Quelles sont les couleurs du drapeau français ?;Bleu Blanc Rouge;Rouge Blanc Bleu;Blanc Bleu Rouge;Bleu Rouge Blanc;option_a;Le drapeau tricolore bleu, blanc, rouge est l'emblème national de la France.;fr;Principles and values of the Republic
Quel personnage féminin symbolise la République française ?;Jeanne d'Arc;Marie-Antoinette;Marianne;Joséphine de Beauharnais;option_c;Marianne est l'allégorie de la République, coiffée d'un bonnet phrygien.;fr;Principles and values of the Republic
Quel animal est souvent utilisé pour représenter la France ?;L'aigle;Le lion;Le coq;L'ours;option_c;Le coq gaulois est un symbole traditionnel et sportif de la France.;fr;Principles and values of the Republic
En quelle année a eu lieu la Révolution française ?;1789;1889;1905;1958;option_a;La Révolution française a débuté en 1789 avec la prise de la Bastille.;fr;History, geography and culture
Qui est l'actuel Président de la République française ? (en 2024);François Hollande;Emmanuel Macron;Nicolas Sarkozy;Jacques Chirac;option_b;Emmanuel Macron a été réélu Président en 2022.;fr;Institutional and political system
Quelle est la durée du mandat du Président de la République ?;4 ans;5 ans;7 ans;À vie;option_b;Le mandat présidentiel (quinquennat) dure 5 ans.;fr;Institutional and political system
Comment le Président de la République est-il élu ?;Par les députés;Par le Sénat;Au suffrage universel direct;Par les maires;option_c;Il est élu directement par les citoyens français.;fr;Institutional and political system
Où siège le Président de la République ?;Au Palais du Louvre;Au Palais du Luxembourg;Au Palais de l'Élysée;Au Palais Bourbon;option_c;Le Palais de l'Élysée est la résidence officielle du Président.;fr;Institutional and political system
Qui nomme le Premier ministre ?;Le peuple;Le Parlement;Le Président de la République;Le Conseil constitutionnel;option_c;Le Président nomme le Premier ministre, qui dirige ensuite le Gouvernement.;fr;Institutional and political system
Où siège l'Assemblée nationale ?;Au Palais du Luxembourg;Au Palais de l'Élysée;Au Palais Bourbon;À l'Hôtel de Ville;option_c;L'Assemblée nationale, qui forme le Parlement avec le Sénat, siège au Palais Bourbon.;fr;Institutional and political system
Où siège le Sénat ?;Au Palais du Luxembourg;Au Palais Bourbon;Au Panthéon;Aux Invalides;option_a;Le Sénat est la chambre haute du Parlement français.;fr;Institutional and political system
En quelle année a été adoptée la loi de séparation des Églises et de l'État ?;1789;1848;1905;1945;option_c;La loi de 1905 est le fondement de la laïcité en France.;fr;History, geography and culture
Qu'est-ce que la laïcité en France ?;L'interdiction des religions;Une religion d'État;La neutralité de l'État en matière religieuse;L'obligation d'avoir une religion;option_c;La laïcité garantit la liberté de conscience et sépare l'État des religions.;fr;Principles and values of the Republic
En quelle année les femmes ont-elles obtenu le droit de vote en France ?;1789;1905;1944;1968;option_c;Le droit de vote a été accordé aux femmes en 1944 par le général de Gaulle.;fr;History, geography and culture
En quelle année l'esclavage a-t-il été définitivement aboli en France ?;1789;1848;1905;1944;option_b;L'abolition définitive a été promulguée en 1848 sous la IIe République (Victor Schoelcher).;fr;History, geography and culture
Sous quelle République vivons-nous actuellement ?;La IIIe République;La IVe République;La Ve République;La VIe République;option_c;La Ve République a été fondée en 1958 par Charles de Gaulle.;fr;Institutional and political system
Quel roi de France était surnommé le Roi-Soleil ?;Henri IV;Louis XIV;Louis XVI;François Ier;option_b;Louis XIV, célèbre pour la construction du château de Versailles, est le Roi-Soleil.;fr;History, geography and culture
Qui a mené la Résistance française depuis Londres pendant la Seconde Guerre mondiale ?;Jean Moulin;Le maréchal Pétain;Le général de Gaulle;Winston Churchill;option_c;Charles de Gaulle a lancé l'Appel du 18 juin 1940.;fr;History, geography and culture
Qui a unifié la Résistance intérieure en France ?;Charles de Gaulle;Jean Moulin;Léon Blum;Victor Hugo;option_b;Jean Moulin a fondé le Conseil national de la Résistance.;fr;History, geography and culture
Quelles sont les dates de la Première Guerre mondiale ?;1870-1871;1914-1918;1939-1945;1954-1962;option_b;La Grande Guerre a opposé la France et ses alliés aux empires centraux.;fr;History, geography and culture
