question_text	option_a	option_b	option_c	option_d	correct_answer	explanation	language	exam_category
法国共和国的国徽是什么？	劳动、家庭、祖国	自由 平等 兄弟情谊	和平 正义 劳动	秩序与进步	选项B	市政厅门楣上刻着的座右铭是自由、平等、博爱。	zh	Principles and values of the Republic
法国的国歌是什么？	《游击队员之歌》	《马赛曲》	《玛德莲》	《欢乐颂》	选项B	《马赛曲》由鲁热·德·利尔于1792年创作。	zh	Principles and values of the Republic
7月14日庆祝的是什么？	第二次世界大战的结束	停战	攻占巴士底狱	拿破仑的诞生	选项_c	7月14日庆祝巴士底狱攻陷（1789年）和联邦节（1790年）。	zh	History, geography and culture
法国国旗的颜色是什么？	蓝 白 红	红 白 蓝	白蓝红	蓝 红 白	选项A	蓝白红三色旗是法国的国家象征。	zh	Principles and values of the Republic
哪位女性人物象征着法兰西共和国？	圣女贞德	玛丽·安托瓦内特	玛丽安	约瑟芬·德·博阿尔内	选项_c	玛丽安是共和国的象征，头戴弗里吉亚帽。	zh	Principles and values of the Republic
哪种动物常被用来代表法国？	鹰	狮子	公鸡	熊	选项_c	高卢公鸡是法国的传统象征和体育象征。	zh	Principles and values of the Republic
法国大革命发生在什么年份？	1789	1889	1905	1958	选项A	法国大革命始于1789年攻占巴士底狱。	zh	History, geography and culture
现任法国总统是谁？（2024年）	弗朗索瓦·奥朗德	埃马纽埃尔·马克龙	尼古拉·萨科齐	雅克·希拉克	选项B	埃马纽埃尔·马克龙于2022年连任总统。	zh	Institutional and political system
共和国总统的任期是多长？	4年	5年	7年	终身制	选项B	总统任期（五年制）为五年。	zh	Institutional and political system
共和国总统如何选举产生？	由众议员选举	由参议院选举	通过直接普选	由市长选举	选项_c	由法国公民直接选举产生。	zh	Institutional and political system
共和国总统的办公地点在哪里？	卢浮宫	卢森堡宫	爱丽舍宫	波旁宫	选项_c	爱丽舍宫是总统的官邸。	zh	Institutional and political system
谁任命总理？	人民	议会	共和国总统	宪法委员会	选项_c	总统任命总理，总理随后领导政府。	zh	Institutional and political system
国民议会位于何处？	卢森堡宫	爱丽舍宫	波旁宫	市政厅	选项_c	国民议会与参议院共同组成议会，其议事地点位于波旁宫。	zh	Institutional and political system
参议院的所在地是哪里？	卢森堡宫	波旁宫	在先贤祠	荣军院	选项A	参议院是法国议会的上议院。	zh	Institutional and political system
《政教分离法》于哪一年通过？	1789	1848	1905	1945	选项_c	1905年法律是法国政教分离制度的基石。	zh	History, geography and culture
