question_text	option_a	option_b	option_c	option_d	correct_answer	explanation	language	exam_category
What is the motto of the French Republic?	Work, Family, Fatherland	Liberty, Equality, Fraternity	Peace Justice Work	Order and Progress	option_b	The motto inscribed on the pediments of town halls is Liberty, Equality, Fraternity.	en	Principles and values of the Republic
What is the national anthem of France?	The Song of the Partisans	La Marseillaise	La Madelon	Ode to Joy	option_b	La Marseillaise was written by Rouget de Lisle in 1792.	en	Principles and values of the Republic
What do we celebrate on July 14?	The end of World War II	The Armistice	The storming of the Bastille	The birth of Napoleon	option_c	July 14 celebrates the storming of the Bastille (1789) and the Fête de la Fédération (1790).	en	History, geography and culture
What are the colors of the French flag?	Blue White Red	Red, white, blue	White Blue Red	Blue Red White	option_a	The blue, white, and red tricolor flag is the national emblem of France.	en	Principles and values of the Republic
Which female figure symbolizes the French Republic?	Joan of Arc	Marie Antoinette	Marianne	Josephine de Beauharnais	option_c	Marianne is the allegory of the Republic, wearing a Phrygian cap.	en	Principles and values of the Republic
Which animal is often used to represent France?	The eagle	The lion	The rooster	The bear	option_c	The Gallic rooster is a traditional and sporting symbol of France.	en	Principles and values of the Republic
In what year did the French Revolution take place?	1789	1889	1905	1958	option_a	The French Revolution began in 1789 with the storming of the Bastille.	en	History, geography and culture
Who is the current President of the French Republic? (in 2024)	François Hollande	Emmanuel Macron	Nicolas Sarkozy	Jacques Chirac	option_b	Emmanuel Macron was re-elected President in 2022.	en	Institutional and political system
How long is the term of office of the President of the Republic?	4 years	5	7	For life	option_b	The presidential term (five-year term) lasts five years.	en	Institutional and political system
How is the President of the Republic elected?	By members of parliament	By the Senate	By direct universal suffrage	By mayors	option_c	He is elected directly by French citizens.	en	Institutional and political system
Where does the President of the Republic sit?	At the Louvre Palace	At the Luxembourg Palace	At the Élysée Palace	At the Palais Bourbon	option_c	The Élysée Palace is the official residence of the President.	en	Institutional and political system
Who appoints the Prime Minister?	The people	Parliament	The President of the Republic	The Constitutional Council	option_c	The President appoints the Prime Minister, who then heads the Government.	en	Institutional and political system
Where does the National Assembly sit?	At the Luxembourg Palace	At the Élysée Palace	At the Palais Bourbon	At City Hall	option_c	The National Assembly, which forms the Parliament together with the Senate, sits at the Palais Bourbon.	en	Institutional and political system
Where does the Senate sit?	At the Luxembourg Palace	At the Palais Bourbon	At the Panthéon	At the Invalides	option_a	The Senate is the upper house of the French Parliament.	en	Institutional and political system
In what year was the law separating church and state adopted?	1789	1848	1905	1945	option_c	The 1905 law is the foundation of secularism in France.	en	History, geography and culture
What is secularism in France?	The prohibition of religions	A state religion	The neutrality of the state in religious matters	The obligation to have a religion	option_c	Secularism guarantees freedom of conscience and separates the state from religion.	en	Principles and values of the Republic
In what year did women obtain the right to vote in France?	1789	1905	1944	1968	option_c	Women were granted the right to vote in 1944 by General de Gaulle.	en	History, geography and culture
In what year was slavery finally abolished in France?	1789	1848	1905	1944	option_b	The final abolition was enacted in 1848 under the Second Republic (Victor Schoelcher).	en	History, geography and culture
Under which Republic do we currently live?	The Third Republic	The Fourth Republic	The Fifth Republic	The Sixth Republic	option_c	The Fifth Republic was founded in 1958 by Charles de Gaulle.	en	Institutional and political system
Which French king was nicknamed the Sun King?	Henry IV	Louis XIV	Louis XVI	Francis I	option_b	Louis XIV, famous for building the Palace of Versailles, was the Sun King.	en	History, geography and culture
Who led the French Resistance from London during World War II?	Jean Moulin	Marshal Pétain	General de Gaulle	Winston Churchill	option_c	Charles de Gaulle launched the Appeal of June 18, 1940.	en	History, geography and culture
Who unified the internal Resistance in France?	Charles de Gaulle	Jean Moulin	Léon Blum	Victor Hugo	option_b	Jean Moulin founded the National Council of the Resistance.	en	History, geography and culture
When did World War I take place?	1870-1871	1914-1918	1939-1945	1954-1962	option_b	The Great War pitted France and its allies against the Central Powers.	en	History, geography and culture
When did World War II take place?	1914-1918	1936-1939	1939-1945	1945-1950	option_c	The global conflict ended with the victory of the Allies in 1945.	en	History, geography and culture
Which French general seized power in 1799 and became Emperor?	Charlemagne	Louis-Napoleon Bonaparte	Napoleon Bonaparte	Charles de Gaulle	option_c	Napoleon I dominated Europe in the early 19th century.	en	History, geography and culture
What is the legal age of majority in France?	16	18	21	25	option_b	Civil and political majority has been set at 18 since 1974.	en	Rights and duties
School is compulsory in France. From what age to what age?	From 3 to 16	From 6 to 16	From 6 to 18	From 3 to 18	option_a	Education is compulsory from age 3 to age 16.	en	Living in French society
Public schools in France are:	Fee-paying and religious	Free, secular, and compulsory	Reserved for boys	Optional	option_b	Public schools are based on free education, secularism, and compulsory education.	en	Living in French society
Which Parisian monument houses the tombs of famous French figures?	The Eiffel Tower	The Arc de Triomphe	The Pantheon	The Louvre	option_c	On its pediment is inscribed: To great men, the grateful homeland.	en	History, geography and culture
Which of these rivers does NOT flow through France?	The Seine	The Rhône	The Thames	The Loire	option_c	The Thames flows through England.	en	History, geography and culture
Which is the longest river in France?	The Garonne	The Seine	The Rhône	The Loire	option_d	The Loire is over 1,000 km long.	en	History, geography and culture
Which of these mountain ranges forms the border between France and Spain?	The Alps	The Vosges	The Pyrenees	The Massif Central	option_c	The Pyrenees separate the Iberian Peninsula from France.	en	History, geography and culture
Which of these mountain ranges forms the border between France and Italy?	The Alps	The Jura	The Pyrenees	The Vosges	option_a	The Alps are home to Mont Blanc, the highest peak in Western Europe.	en	History, geography and culture
How many departments are there in France (approximately)?	50	101	150	200	option_b	There are 96 metropolitan departments and 5 overseas departments.	en	History, geography and culture
Which of these territories is a French overseas department or region (DROM)?	Tahiti	New Caledonia	Guadeloupe	Madagascar	option_c	Guadeloupe, Martinique, French Guiana, Réunion, and Mayotte are DROMs.	en	History, geography and culture
In which country is the seat of the European Parliament located?	Germany	Belgium	France	Italy	option_c	The European Parliament is officially based in Strasbourg, France.	en	Institutional and political system
Which treaty officially created the European Union in 1992?	The Treaty of Rome	The Maastricht Treaty	The Treaty of Versailles	The Treaty of Paris	option_b	The Maastricht Treaty established the European Union and laid the foundations for the euro.	en	Institutional and political system
How many countries make up the European Union today? (in 2024)	15	27	30	28	option_b	Since Brexit, the EU has had 27 member states.	en	Institutional and political system
What is France's currency?	The franc	The pound	The euro	The dollar	option_c	France adopted the euro as its currency, along with other EU countries.	en	Institutional and political system
Who wrote Les Misérables?	Molière	Victor Hugo	Émile Zola	Voltaire	option_b	Victor Hugo is one of the greatest French writers and poets of the 19th century.	en	History, geography and culture
Which of these playwrights is famous for his comedies in the 17th century?	Baudelaire	Molière	Albert Camus	Marcel Proust	option_b	Molière wrote plays such as Tartuffe and The Miser.	en	History, geography and culture
Which official building can be found in every municipality in France?	A cathedral	A prefecture	A town hall	A courthouse	option_c	The town hall (or city hall) is the seat of local government.	en	Institutional and political system
Where must a marriage be celebrated in order to be valid in France?	In a church	At the town hall	At a notary's office	In court	option_b	Only civil marriages (at the town hall) are legally valid in France.	en	Living in French society
What is the main tax that finances social security (health insurance, retirement) in France?	VAT	Social security contributions (CSG/CRDS)	Wealth tax	The housing tax	option_b	National solidarity is financed by social security contributions and other social contributions.	en	Rights and duties
What is the duty of a French citizen in terms of defense?	Serve one year in the army	Participate in the JDC (Defense and Citizenship Day)	Purchase a weapon	There are no duties	option_b	The JDC is mandatory for young people between the ages of 16 and 25.	en	Rights and duties
The French Republic is one and:	Indivisible	Multiple	Regional	Separate	option_a	Article 1 of the Constitution states: France is an indivisible, secular, democratic, and social republic.	en	Principles and values of the Republic
Who votes on laws in France?	The President	The Prime Minister	The Parliament (National Assembly and Senate)	The Constitutional Council	option_c	Legislative power belongs to Parliament.	en	Institutional and political system
What is the Declaration of the Rights of Man and of the Citizen?	A peace treaty	A fundamental text from 1789 that sets out the natural rights of man	A European law	The highway code	option_b	It was adopted at the beginning of the French Revolution in 1789.	en	History, geography and culture
Which of these rights is NOT guaranteed in France?	Freedom of expression	Freedom of worship	The right not to pay taxes	The right to strike	option_c	Paying taxes is a civic duty that helps fund public services.	en	Rights and duties
What is the name of the European Union anthem?	La Marseillaise	Ode to Joy	God Save the King	The Song of the Partisans	option_b	Ode to Joy is from Beethoven's 9th Symphony.	en	Institutional and political system
Which Frankish king converted to Christianity and was baptized around 496?	Charlemagne	Clovis	Henry IV	Louis XIV	option_b	Clovis' baptism is considered a defining moment in French history.	en	History, geography and culture
Who was crowned Emperor of the West by the Pope in the year 800?	Napoleon	Julius Caesar	Charlemagne	Louis XVI	option_c	Charlemagne founded a vast empire in Europe with Aachen as its capital.	en	History, geography and culture
Which heroine helped King Charles VII drive out the English during the Hundred Years' War?	Joan of Arc	Catherine de Medici	Eleanor of Aquitaine	Olympe de Gouges	option_a	Joan of Arc liberated Orléans in 1429 before being burned alive in Rouen in 1431.	en	History, geography and culture
Which king ended the Wars of Religion by signing the Edict of Nantes in 1598?	Louis XIII	Francis I	Henry IV	Philip the Fair	option_c	The Edict of Nantes granted freedom of worship to Protestants.	en	History, geography and culture
Who drafted the Declaration of the Rights of Woman and the Female Citizen in 1791?	Simone de Beauvoir	George Sand	Olympe de Gouges	Marie Curie	option_c	Olympe de Gouges was one of the first French feminists and was guillotined during the Revolution.	en	History, geography and culture
